MUNICIPIO,CULTIVO,PERIODO,Area Sembrada (ha),Area Cosechada (ha),Produccion (t)
chinavita,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chita,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivor,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cienega,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2018a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
corrales,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-espino,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
floresta,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gameza,papa,2018a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
guacamayas,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
iza,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jenesano,papa,2018a,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
jerico,papa,2018a,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
jerico,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
labranzagrande,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
macanal,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongua,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongui,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2018a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
motavita,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nobsa,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
