MUNICIPIO,CULTIVO,PERIODO,Area Sembrada (ha),Area Cosechada (ha),Produccion (t)
tasco,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pachavita,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2016a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
villa-de-leyva,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chinavita,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
buenavista,papa-criolla,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
iza,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chita,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nobsa,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa-criolla,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
iza,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paz-de-rio,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cienega,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
raquira,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-espino,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa-criolla,2011a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
firavitoba,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2017a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
cucaita,papa,2011b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
cuitiva,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa,2016b,[1240.6-1550.5],[0.8-280.71997],[36000.2-42000.15]
sutamarchan,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongui,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongua,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2011b,[310.9-620.8],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-sofia,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
villa-de-leyva,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guacamayas,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gameza,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2012a,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
motavita,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2016a,[1240.6-1550.5],[0.8-280.71997],[18000.352-24000.3]
la-uvita,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibasosa,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
corrales,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
aquitania,papa,2016a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
tutaza,papa,2013a,[930.69995-1240.6],[0.8-280.71997],[24000.3-30000.25]
tinjaca,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
almeida,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
samaca,papa,2013b,[310.9-620.8],[560.63995-840.55994],[12000.4-18000.352]
labranzagrande,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chinavita,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2014a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
motavita,papa,2013b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
jerico,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chita,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2016b,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
boyaca,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
turmeque,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2016b,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
motavita,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
iza,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2017a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
sogamoso,papa,2013a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
mongui,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gameza,papa,2016a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
paipa,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jenesano,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2012a,[2790.0999-3100.0],[0.8-280.71997],[30000.25-36000.2]
beteitiva,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
san-miguel-de-sema,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
corrales,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-espino,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pachavita,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongui,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2011b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
villa-de-leyva,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2014a,[930.69995-1240.6],[840.55994-1120.48],[6000.45-12000.4]
mongua,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa,2016b,[620.8-930.69995],[840.55994-1120.48],[12000.4-18000.352]
el-cocuy,papa,2011a,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
chivata,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa,2016a,[620.8-930.69995],[840.55994-1120.48],[12000.4-18000.352]
gachantiva,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guateque,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2017a,[930.69995-1240.6],[840.55994-1120.48],[12000.4-18000.352]
chita,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-sofia,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2014b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
labranzagrande,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cienega,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2013a,[930.69995-1240.6],[840.55994-1120.48],[18000.352-24000.3]
belen,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jenesano,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2014b,[1860.4-2170.3],[0.8-280.71997],[18000.352-24000.3]
la-uvita,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2011a,[1550.5-1860.4],[0.8-280.71997],[18000.352-24000.3]
sogamoso,papa,2014b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
chivor,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2014a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
cuitiva,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2016b,[1240.6-1550.5],[0.8-280.71997],[18000.352-24000.3]
belen,papa-criolla,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
villa-de-leyva,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2012a,[930.69995-1240.6],[840.55994-1120.48],[12000.4-18000.352]
chita,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2012a,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
soata,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
buenavista,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chita,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2014a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
duitama,papa-criolla,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
iza,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-espino,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
turmeque,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
susacon,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
san-miguel-de-sema,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cerinza,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
somondoco,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa-criolla,2011b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
cuitiva,papa-criolla,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jenesano,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2012b,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
caldas,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-espino,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa-criolla,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa-criolla,2016b,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
mongua,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2012b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
beteitiva,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pisba,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2016b,[2480.2-2790.0999],[0.8-280.71997],[48000.098-54000.047]
pauna,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tipacoque,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guacamayas,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
susacon,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa-criolla,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2013a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
tipacoque,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongua,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nobsa,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2014a,[2480.2-2790.0999],[0.8-280.71997],[48000.098-54000.047]
belen,papa,2017a,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
chivata,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
raquira,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
raquira,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pachavita,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa-criolla,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soata,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
iza,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa-criolla,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
oicata,papa,2013a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
chiquiza,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2011a,[1240.6-1550.5],[0.8-280.71997],[18000.352-24000.3]
ventaquemada,papa-criolla,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2016b,[620.8-930.69995],[560.63995-840.55994],[24000.3-30000.25]
chivata,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2011a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
nobsa,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gameza,papa,2017a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
paipa,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
garagoa,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
almeida,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paz-de-rio,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chita,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
rondon,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2012a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
chinavita,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa-criolla,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2013a,[930.69995-1240.6],[0.8-280.71997],[24000.3-30000.25]
cucaita,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2017a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
jenesano,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soata,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
raquira,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cienega,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cerinza,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
raquira,papa,2013a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
saboya,papa,2017a,[2790.0999-3100.0],[0.8-280.71997],[36000.2-42000.15]
oicata,papa,2011a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
belen,papa,2013b,[620.8-930.69995],[840.55994-1120.48],[12000.4-18000.352]
firavitoba,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2016a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
tutaza,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2017a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
motavita,papa,2016a,[310.9-620.8],[560.63995-840.55994],[6000.45-12000.4]
susacon,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa,2012a,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
pachavita,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2016b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
firavitoba,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2013b,[930.69995-1240.6],[280.71997-560.63995],[6000.45-12000.4]
sogamoso,papa,2012a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
saboya,papa,2011a,[620.8-930.69995],[840.55994-1120.48],[18000.352-24000.3]
cucaita,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tipacoque,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongua,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
floresta,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chinavita,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa-criolla,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pajarito,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2012b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
chiquiza,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2014b,[930.69995-1240.6],[840.55994-1120.48],[12000.4-18000.352]
sativanorte,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2016a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
toca,papa,2014b,[930.69995-1240.6],[0.8-280.71997],[6000.45-12000.4]
buenavista,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivor,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
turmeque,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2014b,[1.0-310.9],[280.71997-560.63995],[6000.45-12000.4]
combita,papa,2012a,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
chiquinquira,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paz-de-rio,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
villa-de-leyva,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
oicata,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
floresta,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2011b,[930.69995-1240.6],[840.55994-1120.48],[18000.352-24000.3]
oicata,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2017a,[620.8-930.69995],[560.63995-840.55994],[18000.352-24000.3]
tutaza,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
rondon,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
